COUNTRY,FHREVERS,GDP90LGN,ETHLING,GRW7598P,BRITCOL,POSTCOM,OPEC,MUSLIM
Nam,5.549999714,3.289588928,0.839999974,-0.600000024,0,0,0,0
Nep,4.699999809,2.260071278,0.689999998,1.600000024,0,0,0,0
Neth,7,4.380373955,0.200000003,1.799999952,0,0,0,0
Nic,4.599999905,2.662757874,0.079999998,-3.400000095,0,0,0,0
Niger,3.150000095,2.371067762,0.639999986,-1.399999976,0,0,0,1
Nigeria,2.599999905,2.411619663,0.879999995,-0.699999988,1,0,1,1
Nor,7,4.45999527,0.079999998,2.900000095,0,0,0,0
NZ,7,4.176843166,0.100000001,0.699999988,1,0,0,0
Oman,2.099999905,3.746711969,0.680000007,2.400000095,0,0,0,1
Pak,3.400000095,2.651278019,0.829999983,2.700000048,1,0,0,1
Pan,5.650000095,3.401917219,0.230000004,1,0,0,0,0
PapNG,5.25,2.948412895,0.99000001,0.200000003,0,0,0,0
Par,4.650000095,3.259115934,0.330000013,1.399999976,0,0,0,0
Peru,3.599999905,3.303627968,0.349999994,-0.400000006,0,0,0,0
Phil,5.150000095,3.026941538,0.850000024,0.5,0,0,0,0
Pol,6.300000191,3.462398052,0.119999997,1.600000024,0,1,0,0
Por,7,3.986592531,0.02,2.900000095,0,0,0,0
Rom,4.949999809,3.197556257,0.200000003,-0.100000001,0,1,0,0
Rus,4.25,3.564429283,0.270000011,-0.800000012,0,1,0,0
Rwa,1.699999809,2.465382814,0,-0.100000001,0,0,0,0
SAf,5.5,3.61415863,0.870000005,-0.699999988,0,0,0,0
SArab,1.050000191,3.851258278,0.560000002,-1.700000048,0,0,1,1
Sen,4.049999714,2.757395983,0.769999981,-0.200000003,0,0,0,1
Sing,2.799999952,4.300312996,0.74000001,5.699999809,1,0,0,0
SKor,5.900000095,3.901294708,0,6,0,0,0,0
SLeo,2.5,2.445604086,0.819999993,-3.200000048,1,0,0,1
Slovak,5.559999943,3.58263135,0.25,0.600000024,0,1,0,0
Sloven,6.349999905,3.984932184,0.170000002,1.200000048,0,1,0,0
Spa,6.5,4.129722118,0.439999998,1.899999976,0,0,0,0
SriLan,3.949999809,2.770852089,0.310000002,3.299999952,1,0,0,0
Sud,1,2.296665192,0.560000002,1,1,0,0,1
Swaz,2.550000191,3.160168409,0.230000004,1.200000048,1,0,0,0
Swe,7,4.421554565,0.370000005,1.200000048,0,0,0,0
Swit,7,4.662294865,0.529999971,0.899999976,0,0,0,0
Syr,1,2.980457783,0.5,1.299999952,0,0,0,1
Taj,1.900000095,2.856124401,0.479999989,-6.699999809,0,1,0,1
Tan,3,2.243037939,0.949999988,0.200000003,1,0,0,0
Thai,4.650000095,3.302330971,0.75,4.900000095,0,0,0,0
Togo,2.550000191,2.574031353,0.889999986,-0.899999976,0,0,0,0
Trin,6.650000095,3.612253904,0.469999999,1.5,1,0,0,0
Tun,2.550000191,3.260786772,0.01,2.200000048,0,0,0,1
Turk,3.75,3.413131952,0.25,2.299999952,0,0,0,1
Turkmn,1.199999809,3.062205791,0.379999995,-7.599999905,0,1,0,1
UAE,2.450000048,4.32199192,0.779999971,-3.5,0,0,1,1
Uga,3.099999905,2.3996737,0.930000007,2.200000048,1,0,0,0
UK,6.5,4.256043911,0.07,1.899999976,0,0,0,0
Ukr,4.449999809,3.296445847,0.479999989,-7.599999905,0,1,0,0
Uru,6.400000095,3.663795233,0.090000004,1.700000048,0,0,0,0
US,7,4.404200554,0.349999994,1.899999976,1,0,0,0
Uz,1.400000095,3.126456022,0.439999998,-2,0,1,0,1
Ven,5,3.52543354,0.02,-0.800000012,0,0,1,0
Vie,1,2.313867331,0.200000003,4.400000095,0,0,0,0
Yem,2.650000095,2.424881697,0.560000002,-0.600000024,0,0,0,1
Zam,4.199999809,2.653212547,0.899999976,-2.200000048,1,0,0,0
Zim,3,2.848804712,0.560000002,0.100000001,1,0,0,0
